Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,1/1/22,1643,N875UA,DEN,8:00,8:02,261,334,2,8:12,10,0,0,75,0,0
UA,1/1/22,1979,N892UA,DEN,15:50,16:30,260,266,40,16:41,11,15,0,6,0,25
UA,1/1/22,2234,N37287,ORD,6:45,6:36,139,149,-9,6:53,17,0,0,0,0,0
UA,1/2/22,1643,N848UA,DEN,8:00,9:00,261,260,60,9:17,17,0,59,0,0,0
UA,1/2/22,1979,N836UA,DEN,15:50,16:42,260,251,52,16:52,10,36,0,0,0,7
UA,1/2/22,2234,N14214,ORD,6:45,7:45,139,130,60,8:08,23,51,0,0,0,0
UA,1/3/22,1643,N852UA,DEN,8:00,8:59,261,285,59,10:05,66,0,59,24,0,0
UA,1/3/22,1979,N820UA,DEN,15:50,20:04,260,246,254,20:31,27,154,0,0,0,86
UA,1/3/22,2234,N73256,ORD,6:45,10:06,139,151,201,10:55,49,201,0,12,0,0
UA,1/4/22,1643,N875UA,DEN,8:00,8:39,261,312,39,9:46,67,0,39,51,0,0
UA,1/4/22,1979,N899UA,DEN,15:50,15:59,260,303,9,16:13,14,9,0,43,0,0
UA,1/4/22,2234,N17245,ORD,6:45,10:08,139,137,203,10:44,36,201,0,0,0,0
UA,1/5/22,1643,N409UA,DEN,8:00,8:03,261,252,3,8:16,13,0,0,0,0,0
UA,1/5/22,1979,N818UA,DEN,15:50,16:30,260,297,40,16:42,12,14,0,37,0,26
UA,1/5/22,2234,N489UA,ORD,6:45,6:43,139,143,-2,7:02,19,0,0,0,0,0
UA,1/6/22,1643,N847UA,DEN,8:00,9:03,261,245,63,9:23,20,47,0,0,0,0
UA,1/6/22,1979,N821UA,DEN,15:50,16:47,260,245,57,16:57,10,18,0,0,0,24
UA,1/6/22,2234,N489UA,ORD,6:45,6:53,139,125,8,7:05,12,0,0,0,0,0
UA,1/7/22,1643,N463UA,DEN,8:00,7:59,261,263,-1,8:11,12,0,0,0,0,0
UA,1/7/22,1979,N839UA,DEN,15:50,15:49,260,266,-1,16:01,12,0,0,0,0,0
UA,1/7/22,2234,N4901U,ORD,6:45,6:39,139,123,-6,6:51,12,0,0,0,0,0
UA,1/8/22,1643,N895UA,DEN,8:00,8:06,261,248,6,8:25,19,0,0,0,0,0
UA,1/8/22,1979,N457UA,DEN,15:50,16:51,260,238,61,17:03,12,36,0,0,0,3
UA,1/8/22,2234,,ORD,6:45,0:00,139,0,0,0:00,0,0,0,0,0,0
UA,1/9/22,1643,N836UA,DEN,8:00,8:03,261,281,3,8:14,11,0,0,23,0,0
UA,1/9/22,1979,N826UA,DEN,15:50,15:51,260,250,1,16:02,11,0,0,0,0,0
UA,1/9/22,2234,N875UA,ORD,6:45,7:04,139,119,19,7:17,13,0,0,0,0,0
UA,1/10/22,1643,N818UA,DEN,8:00,7:50,261,253,-10,8:05,15,0,0,0,0,0
UA,1/10/22,1979,N895UA,DEN,15:50,15:39,260,255,-11,15:55,16,0,0,0,0,0
UA,1/10/22,2234,N455UA,ORD,6:45,6:44,139,127,-1,6:59,15,0,0,0,0,0
UA,1/11/22,1643,N894UA,DEN,8:00,8:20,261,238,20,8:43,23,0,0,0,0,0
UA,1/11/22,1979,N831UA,DEN,15:50,15:49,260,243,-1,16:00,11,0,0,0,0,0
