Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
DL,1/1/22,1675,N3750D,ATL,16:50,17:32,110,96,42,17:43,11,28,0,0,0,0
DL,1/1/22,2351,N828DN,ATL,13:00,13:00,108,104,0,13:21,21,0,0,0,0,0
DL,1/1/22,2532,N890DN,ATL,7:00,7:46,119,93,46,7:58,12,20,0,0,0,0
DL,1/1/22,2798,N883DN,ATL,10:00,9:52,100,95,-8,10:06,14,0,0,0,0,0
DL,1/2/22,1480,N3748Y,ATL,5:44,6:04,111,119,20,6:30,26,20,0,8,0,0
DL,1/2/22,1675,N860DN,ATL,16:51,0:00,111,0,0,0:00,0,0,0,0,0,0
DL,1/2/22,2351,N850DN,ATL,13:21,13:26,109,112,5,13:41,15,0,0,0,0,0
DL,1/2/22,2532,N843DN,ATL,7:05,0:00,120,0,0,0:00,0,0,0,0,0,0
DL,1/2/22,2611,N802DN,ATL,19:29,20:06,116,115,37,20:26,20,33,0,0,0,3
DL,1/2/22,2798,N911DQ,ATL,10:52,10:51,98,100,-1,11:03,12,0,0,0,0,0
DL,1/3/22,1480,N377DA,ATL,5:44,5:45,111,93,1,5:55,10,0,0,0,0,0
DL,1/3/22,1675,N870DN,ATL,16:51,19:01,111,89,130,19:11,10,10,0,0,0,98
DL,1/3/22,2351,N838DN,ATL,13:21,13:45,109,133,24,14:41,56,18,0,24,0,6
DL,1/3/22,2532,N850DN,ATL,7:05,7:03,120,205,-2,9:15,132,0,0,83,0,0
DL,1/3/22,2611,N830DN,ATL,19:29,22:14,116,96,165,22:33,19,114,0,0,0,31
DL,1/3/22,2798,N891DN,ATL,10:52,0:00,98,0,0,0:00,0,0,0,0,0,0
DL,1/4/22,1480,N377DA,ATL,5:44,5:54,111,105,10,6:14,20,0,0,0,0,0
DL,1/4/22,1675,N842DN,ATL,16:51,17:03,111,93,12,17:14,11,0,0,0,0,0
DL,1/4/22,2351,N918DU,ATL,13:21,13:22,109,97,1,13:36,14,0,0,0,0,0
DL,1/4/22,2532,N801DZ,ATL,7:05,8:32,120,104,87,8:50,18,71,0,0,0,0
DL,1/4/22,2611,N890DN,ATL,19:29,19:29,116,118,0,20:04,35,0,0,0,0,0
DL,1/4/22,2798,N923DZ,ATL,10:52,11:17,98,96,25,11:30,13,0,0,0,0,23
DL,1/5/22,1078,N805DN,ATL,11:00,11:01,106,96,1,11:12,11,0,0,0,0,0
DL,1/5/22,1480,N861DN,ATL,5:45,5:43,110,99,-2,5:56,13,0,0,0,0,0
DL,1/5/22,2056,N377DA,ATL,17:45,17:37,109,102,-8,17:55,18,0,0,0,0,0
DL,1/5/22,2351,N920DU,ATL,14:00,13:58,107,104,-2,14:16,18,0,0,0,0,0
DL,1/5/22,2532,N869DN,ATL,7:00,7:01,115,110,1,7:24,23,0,0,0,0,0
DL,1/6/22,1480,N918DU,ATL,5:45,5:45,110,106,0,5:57,12,0,0,0,0,0
DL,1/6/22,1508,N805DN,ATL,11:00,10:59,106,100,-1,11:10,11,0,0,0,0,0
DL,1/6/22,1540,N869DN,ATL,14:00,13:59,107,117,-1,14:22,23,0,0,0,0,0
DL,1/6/22,1585,N878DN,ATL,9:00,8:57,110,101,-3,9:10,13,0,0,0,0,0
DL,1/6/22,2056,N846DN,ATL,17:55,19:06,109,99,71,19:16,10,61,0,0,0,0
DL,1/6/22,2532,N843DN,ATL,7:00,6:59,115,119,-1,7:33,34,0,0,0,0,0
DL,1/7/22,1480,N817DN,ATL,5:45,5:47,110,113,2,6:13,26,0,0,0,0,0
DL,1/7/22,1508,N878DN,ATL,11:00,11:06,106,97,6,11:16,10,0,0,0,0,0
DL,1/7/22,1540,N865DN,ATL,14:00,13:56,107,99,-4,14:09,13,0,0,0,0,0
DL,1/7/22,1585,N888DU,ATL,9:00,8:59,110,105,-1,9:16,17,0,0,0,0,0
DL,1/7/22,2056,N869DN,ATL,17:55,17:59,109,95,4,18:12,13,0,0,0,0,0
DL,1/7/22,2532,N828DN,ATL,7:00,7:00,110,112,0,7:24,24,0,0,0,0,0
DL,1/8/22,1078,N926DZ,ATL,10:00,10:01,109,94,1,10:12,11,0,0,0,0,0
DL,1/8/22,1480,N831DN,ATL,5:45,5:43,110,97,-2,5:56,13,0,0,0,0,0
DL,1/8/22,2056,N891DN,ATL,17:45,17:41,109,102,-4,17:58,17,0,0,0,0,0
DL,1/8/22,2351,N879DN,ATL,13:00,13:00,106,93,0,13:10,10,0,0,0,0,0
DL,1/8/22,2532,N898DN,ATL,7:00,8:19,115,99,79,8:34,15,63,0,0,0,0
DL,1/9/22,1480,N837DN,ATL,5:45,5:43,110,97,-2,5:54,11,0,0,0,0,0
DL,1/9/22,1508,N833DN,ATL,11:00,10:58,106,112,-2,11:17,19,0,0,0,0,0
DL,1/9/22,1540,N859DN,ATL,14:00,13:57,107,106,-3,14:08,11,0,0,0,0,0
DL,1/9/22,1585,N860DN,ATL,9:00,8:50,110,106,-10,9:03,13,0,0,0,0,0
DL,1/9/22,2056,N828DN,ATL,17:55,18:25,109,117,30,18:47,22,30,0,8,0,0
DL,1/9/22,2532,N894DN,ATL,7:00,7:01,115,114,1,7:19,18,0,0,0,0,0
DL,1/10/22,1480,N908DN,ATL,5:45,5:42,110,104,-3,5:58,16,0,0,0,0,0
DL,1/10/22,1508,N810DN,ATL,10:56,10:48,106,95,-8,10:58,10,0,0,0,0,0
DL,1/10/22,1628,N844DN,ATL,8:05,7:58,117,108,-7,8:14,16,0,0,0,0,0
DL,1/10/22,2056,N840DN,ATL,18:18,18:10,111,98,-8,18:26,16,0,0,0,0,0
DL,1/10/22,2351,N879DN,ATL,13:01,12:55,106,90,-6,13:05,10,0,0,0,0,0
DL,1/10/22,2532,N929DZ,ATL,6:50,6:41,115,115,-9,7:04,23,0,0,0,0,0
DL,1/10/22,2852,N808DN,ATL,16:28,16:25,110,96,-3,16:39,14,0,0,0,0,0
DL,1/11/22,1480,N860DN,ATL,5:45,5:43,110,93,-2,5:57,14,0,0,0,0,0
DL,1/11/22,1508,N889DN,ATL,10:56,10:52,106,85,-4,10:59,7,0,0,0,0,0
DL,1/11/22,1628,N806DN,ATL,8:05,8:11,117,94,6,8:23,12,0,0,0,0,0
DL,1/11/22,2056,N924DZ,ATL,17:45,17:39,109,103,-6,17:53,14,0,0,0,0,0
DL,1/11/22,2351,N841DN,ATL,13:01,12:51,106,94,-10,13:05,14,0,0,0,0,0
DL,1/11/22,2532,N882DN,ATL,6:50,6:49,115,99,-1,7:07,18,0,0,0,0,0
DL,1/12/22,1480,N833DN,ATL,5:45,5:38,110,89,-7,5:49,11,0,0,0,0,0
DL,1/12/22,1508,N855DN,ATL,10:56,10:54,106,91,-2,11:07,13,0,0,0,0,0
DL,1/12/22,1628,N917DU,ATL,8:05,7:58,117,96,-7,8:11,13,0,0,0,0,0
DL,1/12/22,2056,N866DN,ATL,17:45,17:36,109,99,-9,17:52,16,0,0,0,0,0
DL,1/12/22,2351,N883DN,ATL,13:01,12:55,106,92,-6,13:10,15,0,0,0,0,0
DL,1/12/22,2532,N867DN,ATL,6:50,6:43,115,120,-7,7:09,26,0,0,0,0,0
DL,1/13/22,1480,N906DN,ATL,5:45,5:42,110,96,-3,5:56,14,0,0,0,0,0
DL,1/13/22,1508,N846DN,ATL,10:56,10:48,106,98,-8,11:02,14,0,0,0,0,0
DL,1/13/22,1628,N804DN,ATL,8:05,8:00,117,115,-5,8:18,18,0,0,0,0,0
DL,1/13/22,2056,N840DN,ATL,18:18,18:14,111,89,-4,18:26,12,0,0,0,0,0
DL,1/13/22,2351,N896DN,ATL,13:01,12:54,106,90,-7,13:05,11,0,0,0,0,0
DL,1/13/22,2532,N912DU,ATL,6:50,6:47,115,98,-3,7:01,14,0,0,0,0,0
