Detailed Statistics Departures  
Origin Airport: Richmond, VA: Richmond International (RIC)
Airline: Southwest Airlines Co. (WN)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","01/01/2022","2644","N8578Q","ATL","05:55","06:02","115","97","7","06:13","11","0","0","0","0","0"
"WN","01/01/2022","3245","","MDW","16:35","00:00","135","0","0","00:00","0","0","0","0","0","0"
"WN","01/01/2022","3438","N903WN","ATL","12:50","12:46","110","98","-4","12:59","13","0","0","0","0","0"
"WN","01/02/2022","0121","N494WN","MDW","18:45","21:14","135","175","149","21:25","11","17","0","40","0","132"
"WN","01/02/2022","0565","N8818Q","ATL","16:55","17:52","110","108","57","18:01","9","0","0","0","0","55"
"WN","01/02/2022","0988","N7838A","DEN","12:35","12:44","240","304","9","12:52","8","9","0","64","0","0"
"WN","01/02/2022","2128","N8677A","ATL","05:45","00:00","115","0","0","00:00","0","0","0","0","0","0"
"WN","01/03/2022","0121","N260WN","MDW","18:45","20:17","135","125","92","20:34","17","26","0","0","0","56"
"WN","01/03/2022","0565","N8563Z","ATL","16:55","17:42","110","98","47","18:00","18","4","0","0","0","31"
"WN","01/03/2022","0988","N7850B","DEN","12:35","16:37","240","245","242","16:54","17","31","0","5","0","211"
"WN","01/03/2022","2128","N8624J","ATL","05:45","06:12","115","89","27","06:24","12","0","0","0","0","0"
"WN","01/04/2022","1416","N8565Z","ATL","06:20","06:50","115","117","30","07:25","35","0","0","2","30","0"
"WN","01/04/2022","3047","N737JW","DEN","13:05","13:25","240","259","20","13:48","23","3","0","19","0","17"
"WN","01/04/2022","4119","N912WN","MDW","18:40","19:07","135","149","27","19:51","44","16","0","14","0","11"
"WN","01/04/2022","5835","N7742B","ATL","16:05","16:31","110","94","26","16:40","9","0","0","0","0","0"
"WN","01/05/2022","1416","N8634A","ATL","06:20","06:20","115","118","0","06:43","23","0","0","0","0","0"
"WN","01/05/2022","3047","N949WN","DEN","13:05","13:07","240","291","2","13:23","16","0","0","53","0","0"
"WN","01/05/2022","4119","N287WN","MDW","18:40","19:21","135","120","41","19:30","9","2","0","0","0","24"
"WN","01/05/2022","5835","N297WN","ATL","16:05","00:00","110","0","0","00:00","0","0","0","0","0","0"
"WN","01/06/2022","1416","N8559Q","ATL","06:20","00:00","115","0","0","00:00","0","0","0","0","0","0"
"WN","01/06/2022","3047","N261WN","DEN","13:05","14:37","240","272","92","14:45","8","18","0","32","0","74"
"WN","01/06/2022","4119","N8559Q","MDW","18:40","18:48","135","116","8","19:04","16","0","0","0","0","0"
"WN","01/06/2022","5835","N910WN","ATL","16:05","16:07","110","107","2","16:22","15","0","0","0","0","0"
"WN","01/07/2022","1416","N8809L","ATL","06:20","06:28","115","123","8","06:57","29","8","0","8","0","0"
"WN","01/07/2022","3047","N913WN","DEN","13:05","13:43","240","236","38","13:53","10","0","0","0","0","34"
"WN","01/07/2022","4119","N7704B","MDW","18:40","19:05","135","123","25","19:17","12","0","0","0","0","0"
"WN","01/07/2022","5835","N498WN","ATL","16:05","15:57","110","103","-8","16:16","19","0","0","0","0","0"
"WN","01/08/2022","1319","","ATL","06:20","00:00","115","0","0","00:00","0","0","0","0","0","0"
"WN","01/08/2022","1952","N475WN","ATL","13:25","14:14","105","91","49","14:24","10","35","0","0","0","0"
"WN","01/08/2022","3087","N294WN","MDW","16:35","00:00","135","0","0","00:00","0","0","0","0","0","0"
"WN","01/09/2022","0896","N7746C","DEN","13:15","13:09","240","242","-6","13:18","9","0","0","0","0","0"
"WN","01/09/2022","2309","N249WN","MDW","17:55","17:55","140","121","0","18:07","12","0","0","0","0","0"
"WN","01/09/2022","4089","N8618N","ATL","06:15","06:26","115","102","11","06:38","12","0","0","0","0","0"
"WN","01/09/2022","4756","N7813P","ATL","17:00","17:13","110","101","13","17:27","14","0","0","0","0","0"
"WN","01/10/2022","1416","N8541W","ATL","06:20","06:25","115","99","5","06:37","12","0","0","0","0","0"
